date,month,primary_price_avg,secondary_price_avg,stock_var,retail_sales,non_retail_sales,price_diff,retail_sales_lag_1,retail_sales_lag_2,retail_sales_lag_3,non_retail_sales_lag_1,non_retail_sales_lag_2,non_retail_sales_lag_3,primary_price_avg_lag_1,primary_price_avg_lag_2,primary_price_avg_lag_3,secondary_price_avg_lag_1,secondary_price_avg_lag_2,secondary_price_avg_lag_3,price_diff_lag_1,price_diff_lag_2,price_diff_lag_3,primary_price_roll3,secondary_price_roll3,trend_index,retail_sales_roll3,non_retail_sales_roll3,non_retail_sales_custom_avg
01-07-2022,7,59625,58111.538,35255,8034.57,33543.95,1513.462,10343.09,8720.57,12147.22,48082.98,58272.76,64362.677,61275,69360,73500,54661.538,61673.077,65634.615,6613.462,7686.923,7865.385,63420,58148.71767,3,8034.57,33543.95,33543.95
01-08-2022,8,58160,56779.167,27836,11706.24,28619.99,1380.833,8034.57,10343.09,8720.57,33543.95,48082.98,58272.76,59625,61275,69360,58111.538,54661.538,61673.077,1513.462,6613.462,7686.923,59686.66667,56517.41433,4,9870.405,31081.97,28211.59
01-09-2022,9,56725,55111.538,33187,10840.18,22470.83,1613.462,11706.24,8034.57,10343.09,28619.99,33543.95,48082.98,58160,59625,61275,56779.167,58111.538,54661.538,1380.833,1513.462,6613.462,58170,56667.41433,5,10193.66333,28211.59,28481.25667
01-10-2022,10,57260,54405,22432,15692.454,34352.95,2855,10840.18,11706.24,8034.57,22470.83,28619.99,33543.95,56725,58160,59625,55111.538,56779.167,58111.538,1613.462,1380.833,1513.462,57381.66667,55431.90167,6,12746.29133,28481.25667,34244.86333
01-11-2022,11,56525,52734.615,16192,13408.779,45910.81,3790.385,15692.454,10840.18,11706.24,34352.95,22470.83,28619.99,57260,56725,58160,54405,55111.538,56779.167,2855,1613.462,1380.833,56836.66667,54083.71767,7,13313.80433,34244.86333,36680.357
01-12-2022,12,56700,51892.593,19410,13489.803,29777.311,4807.407,13408.779,15692.454,10840.18,45910.81,34352.95,22470.83,56525,57260,56725,52734.615,54405,55111.538,3790.385,2855,1613.462,56828.33333,53010.736,8,14197.012,36680.357,38724.608
01-01-2023,1,59760,53736,21052,16768.716,40485.703,6024,13489.803,13408.779,15692.454,29777.311,45910.81,34352.95,56700,56525,57260,51892.593,52734.615,54405,4807.407,3790.385,2855,57661.66667,52787.736,9,14555.766,38724.608,36282.30833
01-02-2023,2,62575,54204.167,13500,9710.004,38583.911,8370.833,16768.716,13489.803,13408.779,40485.703,29777.311,45910.81,59760,56700,56525,53736,51892.593,52734.615,6024,4807.407,3790.385,59678.33333,53277.58667,10,13322.841,36282.30833,43951.04133
01-03-2023,3,61250,54066.667,15225,8803.32,52783.51,7183.333,9710.004,16768.716,13489.803,38583.911,40485.703,29777.311,62575,59760,56700,54204.167,53736,51892.593,8370.833,6024,4807.407,61195,54002.278,11,11760.68,43951.04133,47962.15367
01-04-2023,4,59875,54150,18583,14103.37,52519.04,5725,8803.32,9710.004,16768.716,52783.51,38583.911,40485.703,61250,62575,59760,54066.667,54204.167,53736,7183.333,8370.833,6024,61233.33333,54140.278,12,10872.23133,47962.15367,50726.72667
01-05-2023,5,57580,52285.185,27738,8808.9,46877.63,5294.815,14103.37,8803.32,9710.004,52519.04,52783.51,38583.911,59875,61250,62575,54150,54066.667,54204.167,5725,7183.333,8370.833,59568.33333,53500.61733,13,10571.86333,50726.72667,52347.82
01-06-2023,6,54475,49942.308,45052,12159.16,57646.79,4532.692,8808.9,14103.37,8803.32,46877.63,52519.04,52783.51,57580,59875,61250,52285.185,54150,54066.667,5294.815,5725,7183.333,57310,52125.831,14,11690.47667,52347.82,46115.62333
01-07-2023,7,51820,48076.923,41488,6561.79,33822.45,3743.077,12159.16,8808.9,14103.37,57646.79,46877.63,52519.04,54475,57580,59875,49942.308,52285.185,54150,4532.692,5294.815,5725,54625,50101.472,15,9176.616667,46115.62333,39221.13
01-08-2023,8,52350,49084,38468,9980.03,26194.15,3266,6561.79,12159.16,8808.9,33822.45,57646.79,46877.63,51820,54475,57580,48076.923,49942.308,52285.185,3743.077,4532.692,5294.815,52881.66667,49034.41033,16,9566.993333,39221.13,33957.10867
01-09-2023,9,56375,51696.154,27103,9571.63,41854.726,4678.846,9980.03,6561.79,12159.16,26194.15,33822.45,57646.79,52350,51820,54475,49084,48076.923,49942.308,3266,3743.077,4532.692,53515,49619.02567,17,8704.483333,33957.10867,33847
01-10-2023,10,56860,50790.909,12160,10538.68,33492.124,6069.091,9571.63,9980.03,6561.79,41854.726,26194.15,33822.45,56375,52350,51820,51696.154,49084,48076.923,4678.846,3266,3743.077,55195,50523.68767,18,10030.11333,33847,43683.43367
01-11-2023,11,55825,49164,20432,17403.94,55703.451,6661,10538.68,9571.63,9980.03,33492.124,41854.726,26194.15,56860,56375,52350,50790.909,51696.154,49084,6069.091,4678.846,3266,56353.33333,50550.35433,19,12504.75,43683.43367,48847.425
01-12-2023,12,53725,48563.636,31662,14838.21,57346.7,5161.364,17403.94,10538.68,9571.63,55703.451,33492.124,41854.726,55825,56860,56375,49164,50790.909,51696.154,6661,6069.091,4678.846,55470,49506.18167,20,14260.27667,48847.425,55088.12367
01-01-2024,1,51940,47678.261,39281,7395.22,52214.22,4261.739,14838.21,17403.94,10538.68,57346.7,55703.451,33492.124,53725,55825,56860,48563.636,49164,50790.909,5161.364,6661,6069.091,53830,48468.63233,21,13212.45667,55088.12367,48562.20467
01-02-2024,2,51525,47370.833,40672,6065.48,36125.694,4154.167,7395.22,14838.21,17403.94,52214.22,57346.7,55703.451,51940,53725,55825,47678.261,48563.636,49164,4261.739,5161.364,6661,52396.66667,47870.91,22,9432.97,48562.20467,46116.68467
01-03-2024,3,51675,47475,37736,9713.86,50010.14,4200,6065.48,7395.22,14838.21,36125.694,52214.22,57346.7,51525,51940,53725,47370.833,47678.261,48563.636,4154.167,4261.739,5161.364,51713.33333,47508.03133,23,7724.853333,46116.68467,47990.37467
01-04-2024,4,55200,49528,25398,10509.67,57835.29,5672,9713.86,6065.48,7395.22,50010.14,36125.694,52214.22,51675,51525,51940,47475,47370.833,47678.261,4200,4154.167,4261.739,52800,48124.611,24,8763.003333,47990.37467,54538.29333
