date,month,primary_price_avg,secondary_price_avg,stock_var,retail_sales,non_retail_sales,total_sales,price_diff,retail_sales_lag_1,retail_sales_lag_2,retail_sales_lag_3,non_retail_sales_lag_1,non_retail_sales_lag_2,non_retail_sales_lag_3,primary_price_avg_lag_1,primary_price_avg_lag_2,primary_price_avg_lag_3,secondary_price_avg_lag_1,secondary_price_avg_lag_2,secondary_price_avg_lag_3,price_diff_lag_1,price_diff_lag_2,price_diff_lag_3,primary_price_roll3,secondary_price_roll3,trend_index,retail_sales_roll3,non_retail_sales_roll3,stock_var_lag_1,stock_var_lag_2,stock_var_lag_3,non_retail_sales_custom_avg,primary_price_avg_roll_3,secondary_price_avg_roll_3,retail_sales_roll_3,non_retail_sales_roll_3,month_number
01-10-2022,10,55720,50795,44914,15985.28,34352.95,50338.23,4925,,,,,,,,,,,,,,,,55883.33,51304.16,1,11399.5,28481.26,,,,40131.88,55735,49126.345,13306.285,40131.88,10
01-11-2022,11,55750,47457.69,35158,10627.29,45910.81,56538.1,8292.31,15985.28,,,34352.95,,,55720,,,50795,,,4925,,,55506.67,49672.69,2,12472.11,34244.86,44914,,,36680.35667,56040,48949.66333,14940.35333,36680.35667,11
01-12-2022,12,56650,48596.3,43983,18208.49,29777.31,47985.8,8053.7,10627.29,15985.28,,45910.81,34352.95,,55750,55720,,47457.69,50795,,8292.31,4925,,56040,48949.66,3,14940.35,36680.36,35158,44914,,38724.60667,57540,49245.99667,13308.88,38724.60667,12
01-01-2023,1,60220,51684,29863,11090.86,40485.7,51576.56,8536,18208.49,10627.29,15985.28,29777.31,45910.81,34352.95,56650,55750,55720,48596.3,47457.69,50795,8053.7,8292.31,4925,57540,49246,4,13308.88,38724.61,43983,35158,44914,36282.30667,59981.66667,50150.37667,15020.18667,36282.30667,1
01-02-2023,2,63075,50170.83,31259,15761.21,38583.91,54345.12,12904.17,11090.86,18208.49,10627.29,40485.7,29777.31,45910.81,60220,56650,55750,51684,48596.3,47457.69,8536,8053.7,8292.31,59981.67,50150.38,5,15020.19,36282.31,29863,43983,35158,43951.04,61456.66667,50837.72,15717.21333,43951.04,2
01-03-2023,3,61075,50658.33,35327,20299.57,52783.51,73083.08,10416.67,15761.21,11090.86,18208.49,38583.91,40485.7,29777.31,63075,60220,56650,50170.83,51684,48596.3,12904.17,8536,8053.7,61456.67,50837.72,6,15717.21,43951.04,31259,29863,43983,47962.15333,61083.33333,50558.33,20230.65333,47962.15333,3
01-04-2023,4,59100,50845.83,39700,24631.18,52519.04,77150.22,8254.17,20299.57,15761.21,11090.86,52783.51,38583.91,40485.7,61075,63075,60220,50658.33,50170.83,51684,10416.67,12904.17,8536,61083.33,50558.33,7,20230.65,47962.15,35327,31259,29863,50726.72667,58665,49845.83,26347.57333,50726.72667,4
01-05-2023,5,55820,48033.33,53737,34111.97,46877.63,80989.6,7786.67,24631.18,20299.57,15761.21,52519.04,52783.51,38583.91,59100,61075,63075,50845.83,50658.33,50170.83,8254.17,10416.67,12904.17,58665,49845.83,8,26347.57,50726.73,39700,35327,31259,52347.82,55931.66667,48622.54,32650.34,52347.82,5
01-06-2023,6,52875,46988.46,55785,39207.87,57646.79,96854.66,5886.54,34111.97,24631.18,20299.57,46877.63,52519.04,52783.51,55820,59100,61075,48033.33,50845.83,50658.33,7786.67,8254.17,10416.67,55931.67,48622.54,9,32650.34,52347.82,53737,39700,35327,46115.62333,52851.66667,46382.90333,28754.79,46115.62333,6
01-07-2023,7,49860,44126.92,57934,12944.53,33822.45,46766.98,5733.08,39207.87,34111.97,24631.18,57646.79,46877.63,52519.04,52875,55820,59100,46988.46,48033.33,50845.83,5886.54,7786.67,8254.17,52851.67,46382.91,10,28754.79,46115.62,55785,53737,39700,39221.13,50845,45506.46,22174.29667,39221.13,7
01-08-2023,8,49800,45404,77394,14370.49,26194.15,40564.64,4396,12944.53,39207.87,34111.97,33822.45,57646.79,46877.63,49860,52875,55820,44126.92,46988.46,48033.33,5733.08,5886.54,7786.67,50845,45506.46,11,22174.3,39221.13,57934,55785,53737,33957.11,51436.66667,45593.64,13691.53,33957.11,8
01-09-2023,9,54650,47250,51687,13759.57,41854.73,55614.3,7400,14370.49,12944.53,39207.87,26194.15,33822.45,57646.79,49800,49860,52875,45404,44126.92,46988.46,4396,5733.08,5886.54,51436.67,45593.64,12,13691.53,33957.11,77394,57934,55785,33847,53343.33333,46014.97,13911.30667,33847,9
