date,month,primary_price_avg,secondary_price_avg,stock_var,retail_sales,non_retail_sales,total_sales,price_diff,retail_sales_lag_1,retail_sales_lag_2,retail_sales_lag_3,non_retail_sales_lag_1,non_retail_sales_lag_2,non_retail_sales_lag_3,primary_price_avg_lag_1,primary_price_avg_lag_2,primary_price_avg_lag_3,secondary_price_avg_lag_1,secondary_price_avg_lag_2,secondary_price_avg_lag_3,price_diff_lag_1,price_diff_lag_2,price_diff_lag_3,primary_price_roll3,secondary_price_roll3,trend_index,retail_sales_roll3,non_retail_sales_roll3,stock_var_lag_1,stock_var_lag_2,stock_var_lag_3,non_retail_sales_custom_avg
01-07-2022,7,58200,54515.39,51304,10101.02,33543.95,43644.97,3684.62,14302.49,22515.88,27661.59,48082.98,58272.76,64362.68,59612.5,66600,72725,53680.77,59573.08,64930.77,5931.73,7026.92,7794.23,61470.83,55923.08,3,10101.02,33543.95,32191,20390,8062,33543.95
01-08-2022,8,56730,55841.67,43737,7988.31,28619.99,36608.3,888.33,10101.02,14302.49,22515.88,33543.95,48082.98,58272.76,58200,59612.5,66600,54515.39,53680.77,59573.08,3684.62,5931.73,7026.92,58180.83,54679.27,4,9044.67,31081.97,51304,32191,20390,28211.59
01-09-2022,9,55850,54776.92,40280,15729.05,22470.83,38199.88,1073.08,7988.31,10101.02,14302.49,28619.99,33543.95,48082.98,56730,58200,59612.5,55841.67,54515.39,53680.77,888.33,3684.62,5931.73,56926.67,55044.66,5,11272.79,28211.59,43737,51304,32191,28481.26
01-10-2022,10,56460,55635,29577,17277.61,34352.95,51630.56,825,15729.05,7988.31,10101.02,22470.83,28619.99,33543.95,55850,56730,58200,54776.92,55841.67,54515.39,1073.08,888.33,3684.62,56346.67,55417.86,6,13664.99,28481.26,40280,43737,51304,34244.86
01-11-2022,11,55775,52730.77,23424,14100.59,45910.81,60011.4,3044.23,17277.61,15729.05,7988.31,34352.95,22470.83,28619.99,56460,55850,56730,55635,54776.92,55841.67,825,1073.08,888.33,56028.33,54380.9,7,15702.42,34244.86,29577,40280,43737,36680.36
01-12-2022,12,56675,53314.82,29507,30166.35,29777.31,59943.66,3360.19,14100.59,17277.61,15729.05,45910.81,34352.95,22470.83,55775,56460,55850,52730.77,55635,54776.92,3044.23,825,1073.08,56303.33,53893.53,8,20514.85,36680.36,23424,29577,40280,38724.61
01-01-2023,1,61060,57116,24085,26500.68,40485.7,66986.38,3944,30166.35,14100.59,17277.61,29777.31,45910.81,34352.95,56675,55775,56460,53314.82,52730.77,55635,3360.19,3044.23,825,57836.67,54387.19,9,23589.21,38724.61,29507,23424,29577,36282.31
01-02-2023,2,62725,56916.67,20825,20148.99,38583.91,58732.9,5808.33,26500.68,30166.35,14100.59,40485.7,29777.31,45910.81,61060,56675,55775,57116,53314.82,52730.77,3944,3360.19,3044.23,60153.33,55782.49,10,25605.34,36282.31,24085,29507,23424,43951.04
01-03-2023,3,60725,55933.33,25211,27324.22,52783.51,80107.73,4791.67,20148.99,26500.68,30166.35,38583.91,40485.7,29777.31,62725,61060,56675,56916.67,57116,53314.82,5808.33,3944,3360.19,61503.33,56655.33,11,24657.96,43951.04,20825,24085,29507,47962.15
01-04-2023,4,59450,54891.67,34551,32320.88,52519.04,84839.92,4558.33,27324.22,20148.99,26500.68,52783.51,38583.91,40485.7,60725,62725,61060,55933.33,56916.67,57116,4791.67,5808.33,3944,60966.67,55913.89,12,26598.03,47962.15,25211,20825,24085,50726.73
01-05-2023,5,56560,53325.93,52568,30185.08,46877.63,77062.71,3234.07,32320.88,27324.22,20148.99,52519.04,52783.51,38583.91,59450,60725,62725,54891.67,55933.33,56916.67,4558.33,4791.67,5808.33,58911.67,54716.98,13,29943.39,50726.73,34551,25211,20825,52347.82
01-06-2023,6,53275,50796.15,58639,43614.43,57646.79,101261.22,2478.85,30185.08,32320.88,27324.22,46877.63,52519.04,52783.51,56560,59450,60725,53325.93,54891.67,55933.33,3234.07,4558.33,4791.67,56428.33,53004.58,14,35373.46,52347.82,52568,34551,25211,46115.62
01-07-2023,7,50960,46969.23,56833,21308.75,33822.45,55131.2,3990.77,43614.43,30185.08,32320.88,57646.79,46877.63,52519.04,53275,56560,59450,50796.15,53325.93,54891.67,2478.85,3234.07,4558.33,53598.33,50363.77,15,31702.75,46115.62,58639,52568,34551,39221.13
01-08-2023,8,52050,48860,61067,19280,26194.15,45474.15,3190,21308.75,43614.43,30185.08,33822.45,57646.79,46877.63,50960,53275,56560,46969.23,50796.15,53325.93,3990.77,2478.85,3234.07,52095,48875.13,16,28067.73,39221.13,56833,58639,52568,33957.11
